# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
1.000000000000000000e+01,4.029683107516599527e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.467672524278222568e+01,2.876824678057166018e-02,6.889309984816249788e-02,1.536576790157329897e-01,2.015602715283133506e-01,2.437862884956340515e-01,2.989831247254408630e-01,1.184479898374335427e-03,8.259389035264836920e+00,1.666666666666666644e-02,1.678981882849838944e-02
1.100000000000000000e+01,2.979880457738512067e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.071756373945029139e+01,-5.883987487608993705e-02,-9.517340878671398663e-03,1.456281294503347090e-01,2.039596686524411950e-01,3.834244377182593859e-03,5.853661526954856420e-02,1.260610813763182181e-01,7.560712503754864144e+00,1.666666666666666644e-02,1.663132155162832040e-02
1.200000000000000000e+01,1.945963038914351628e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.245036466260537367e+01,-2.638242463379164571e-02,1.831105292983958854e-02,2.220149089546214205e-01,2.764311500387757192e-01,7.899450455554039852e-02,1.399879658404685756e-01,4.624885271390170860e-02,7.674576904548558787e+00,1.666666666666666644e-02,1.672146270979215157e-02
1.300000000000000000e+01,4.110699869478044555e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,6.010432272376574048e+01,1.428685602233925600e-01,1.832210891884487047e-01,1.360347742251936387e-01,1.868908877418737902e-01,1.827127388283833753e-01,2.262867501768011103e-01,2.917803341714679810e-01,1.013397711214136443e+01,1.666666666666666644e-02,1.669967767033455480e-02
1.400000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.190729816360864390e+01,-1.772009025895310008e-01,-1.300359671004217565e-01,2.872811218097672814e-01,3.598354413793871664e-01,1.539350136803661340e-01,2.147055125291637001e-01,9.292077765156123159e-02,5.959578855597959191e+00,1.666666666666666644e-02,1.605901967322440754e-02
1.500000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.320631181081868988e+01,-1.868679485920998473e-01,-1.346020520458314218e-01,1.590000674686275761e-01,2.148416683310481190e-01,9.177567472077480248e-02,1.512877883834775616e-01,8.262027858192358409e-02,6.013039053286557412e+00,1.666666666666666644e-02,1.664632655329554428e-02
1.600000000000000000e+01,2.923905106609281379e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.783605842049846046e+01,-8.722161654423971067e-02,-4.528301813552004784e-02,1.392792264120455148e-01,2.011293960069902020e-01,6.451864311430184629e-02,1.193952553440358333e-01,2.089832142625784595e-01,7.206775490435887832e+00,1.666666666666666644e-02,1.658108258308324881e-02
1.700000000000000000e+01,3.092018441311595200e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.201443874370998799e+01,2.922025627123736591e-03,3.855325881019733281e-02,1.969000565327566343e-01,2.530540214097711793e-01,1.912562688130907407e-01,2.467182046253801886e-01,2.360956379999739896e-01,8.325128152851899443e+00,1.666666666666666644e-02,1.644236967878181729e-02
1.800000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,3.937785285673926694e+01,-2.727118422399259501e-01,-1.986318742714953123e-01,1.516360121204528566e-01,2.025811488504714042e-01,2.635804412764655713e-01,3.054739160391646280e-01,1.951122725218774889e-01,5.425661226975805107e+00,1.666666666666666644e-02,1.650983661220406865e-02
1.900000000000000000e+01,2.545475310186406048e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.179141378060902667e+01,-1.568079754100432099e-02,2.602474545529243066e-02,1.906982204390557656e-01,2.559886832556723668e-01,6.477697681415409137e-02,1.198364276576548981e-01,2.948225743632642004e-01,8.092489086608678051e+00,1.666666666666666644e-02,1.650539068578414995e-02
