# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
1.000000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.057980853614978400e+01,-2.535585145179672928e-01,-1.851368457856398253e-01,1.725279988281749888e-01,2.143634766570530203e-01,2.673965862936791837e-01,3.128669430023851561e-01,4.101197690548589320e-02,6.522685139019062106e+00,1.666666666666666644e-02,1.680771368233855562e-02
1.010000000000000000e+02,2.820378167111174061e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.466834747737857469e+01,-1.535076321813701461e-01,-1.002335898089579125e-01,5.698168626143903376e-02,1.082062507361469805e-01,1.662682773374361267e-01,2.246682273823539244e-01,2.164631585304913897e-01,8.169081447751754155e+00,1.666666666666666644e-02,1.655096143158830621e-02
1.020000000000000000e+02,2.325153222104917372e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,5.727310009273386981e+01,1.115181875363240316e-01,1.500814047030618603e-01,2.027960713116851998e-01,2.567703919213699670e-01,8.978452230291054936e-02,1.359444479312974519e-01,1.793044754808189312e-01,1.139798003972251017e+01,1.666666666666666644e-02,1.663365566299877807e-02
1.030000000000000000e+02,2.367246620015136749e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,5.941610150788877576e+01,1.750836776075953560e-01,2.123882909221204152e-01,1.378061236934135791e-01,1.839526332573371281e-01,2.468054274053579911e-01,2.923096664478495033e-01,1.761513780377174931e-01,1.221705085646609668e+01,1.666666666666666644e-02,1.642125152828720694e-02
1.040000000000000000e+02,8.941086469854448993e-01,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.326404570326180732e+01,-1.910677971219418292e-01,-1.318977149834484885e-01,6.848950709998993802e-02,1.171265275086657009e-01,2.422480086151129752e-01,2.891561594398186497e-01,4.437618730442541987e-02,7.491236064119290106e+00,1.666666666666666644e-02,1.667333555629654449e-02
1.050000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.188738108071812150e+01,-2.257855968283832837e-01,-1.601831218216271946e-01,2.650858818986278620e-01,3.201660575056379798e-01,1.731172800667254985e-01,2.210148818197628096e-01,1.353347728227726754e-01,7.197634725122069810e+00,1.666666666666666644e-02,1.674569300878070433e-02
1.060000000000000000e+02,2.498919987806131449e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,5.244865216710913103e+01,2.715314020898118574e-02,6.324128516451188453e-02,2.862920019245204784e-01,3.340268036680356101e-01,1.348695103062552414e-01,1.861591480319746417e-01,2.569439324513711227e-03,9.866822951869618663e+00,1.666666666666666644e-02,1.633566744470378931e-02
1.070000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.090023177719128000e+01,-2.423149099418691332e-01,-1.811529302965039223e-01,2.264342632954049750e-01,2.967093161094644937e-01,1.690205545943331833e-01,2.094623361283984853e-01,4.881148783354045256e-02,6.543606648650851731e+00,1.666666666666666644e-02,1.685884183616761026e-02
1.080000000000000000e+02,1.633080283917909048e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,6.045547224496359462e+01,1.967756883275216806e-01,2.381294186399824930e-01,2.866288694844988383e-01,3.379819755186728170e-01,2.021076076866318016e-01,2.616318091762899201e-01,2.174431450550153716e-02,1.208930987504684218e+01,1.666666666666666644e-02,1.634711570523507754e-02
1.090000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,3.953319018325160528e+01,-2.638015262557995566e-01,-1.909873704916446036e-01,1.474279213656899956e-01,1.728108509291053085e-01,2.097850788437638225e-01,2.566538204831669834e-01,1.834381534950000336e-01,6.959516002290744296e+00,1.666666666666666644e-02,1.653706791152606548e-02
1.100000000000000000e+02,3.171381927532688660e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,5.279031803119305977e+01,2.894780708873906372e-02,6.936107065004959438e-02,1.975366145238459936e-01,2.552275133333328228e-01,1.126766948899631526e-01,1.698672677068981951e-01,3.481765869152529669e-02,9.907864953347280235e+00,1.666666666666666644e-02,1.640024452595309490e-02
1.110000000000000000e+02,3.841463717232581399e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.699392410636244222e+01,-1.058428554148096445e-01,-5.888556497717800653e-02,4.474888714184693805e-02,9.077684610944314336e-02,6.743497363248529552e-03,5.526524736985294339e-02,8.859759132086285349e-02,8.519913274525237057e+00,1.666666666666666644e-02,1.661620540180060168e-02
1.120000000000000000e+02,1.460185334420125158e-01,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.450888460255407608e+01,-1.585119027396468538e-01,-9.952474584428749882e-02,2.867420608456682229e-01,3.413460442457878496e-01,2.461828113943732299e-01,2.802628404113149951e-01,2.210120490801806559e-01,8.089874973500215560e+00,1.666666666666666644e-02,1.646548849616538690e-02
1.130000000000000000e+02,3.418477813711875868e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.711315663670170295e+01,-9.445451669497428870e-02,-5.162175304034599677e-02,2.217107965267798089e-02,7.497187015102069196e-02,2.684795288095870314e-01,3.326164791376324814e-01,2.555956478190264392e-01,8.718968524481230276e+00,1.666666666666666644e-02,1.649238635100589226e-02
1.140000000000000000e+02,2.593318315833973209e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,5.042593472567356372e+01,-5.811077564454952826e-02,-1.796559585418533445e-02,2.606235842223937893e-01,3.028511519718306566e-01,2.777651289144781876e-01,3.249739812322176569e-01,4.548959015254400856e-02,8.760562466035000995e+00,1.666666666666666644e-02,1.704657107924863885e-02
1.150000000000000000e+02,2.895586262800267985e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,5.049572514799402967e+01,3.760524108062268667e-03,4.447160451063214559e-02,2.108323202389251194e-01,2.686758555992569963e-01,1.241075200404752471e-01,1.840043121422614281e-01,5.882769292198181815e-02,9.762948970876696109e+00,1.666666666666666644e-02,1.604268089363121083e-02
1.160000000000000000e+02,2.108283694094144511e+00,3.000000000000000000e+03,9.000000000000000000e+01,5.000000000000000000e+01,4.848217191396743431e+01,-6.540423427266839340e-02,-2.616514878972808766e-02,2.351737788772252369e-01,2.819517604192065541e-01,1.252819394089248368e-02,6.541179752995973651e-02,7.474520574711540416e-04,8.689525509578423623e+00,1.666666666666666644e-02,1.652228520617983823e-02
