# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
3.000000000000000000e+02,1.953896765571283334e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,4.542797905607993414e+01,-1.194466214584282704e-01,-6.506252460449291064e-02,2.346139298880587643e-01,2.636307878892769629e-01,2.433283097894553548e-01,2.847279410754086637e-01,7.232337825083982874e-02,-1.000000000000000000e+00,1.666666666666666644e-02,1.631821718350561293e-02
3.010000000000000000e+02,3.620394043194696820e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,4.927334007665496074e+01,-2.862663190416919745e-02,1.722635143287964965e-02,1.780732450738619632e-01,2.182764932420790949e-01,2.023295153347299535e-01,2.383581977208051317e-01,1.011839995836744666e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.618995220629098480e-02
3.020000000000000000e+02,3.588393623450369496e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,5.669918189996078439e+01,1.177474793323702862e-01,1.489300867512755033e-01,2.475127023442691976e-01,2.762909095474446186e-01,1.024934203278749928e-01,1.354243338501166516e-01,1.908843636466223959e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.665588529509836463e-02
3.030000000000000000e+02,3.093650665375399900e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,4.553933426817243912e+01,-1.477897017303974048e-01,-8.960482860835516927e-02,1.305849099364064791e-01,1.666651808234569376e-01,5.610983508384288082e-02,9.551375462048250498e-02,1.863519423209228087e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.678181616094253509e-02
3.040000000000000000e+02,2.165358970867428567e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,4.604584042134847266e+01,-1.134748042610693730e-01,-5.452655259136562904e-02,2.488900483349638093e-01,2.856106998640606243e-01,2.817838946031451797e-01,3.117580391742549306e-01,1.250197842961800476e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.635211737245748434e-02
3.050000000000000000e+02,2.894072347091167785e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,4.813206415577856490e+01,-1.052965235817074352e-01,-4.946812253512833379e-02,2.547890937698167879e-01,2.732388946201564917e-01,1.558756506239737660e-01,1.847710333006407080e-01,4.654994634653146501e-02,-1.000000000000000000e+00,1.666666666666666644e-02,1.696020895854173649e-02
3.060000000000000000e+02,3.197319327123263832e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,5.001997788681173063e+01,-5.720821702509609752e-02,-1.971416707241990807e-03,2.864980652623501656e-01,2.976584807566817759e-01,9.722448526466928587e-02,1.318436182642921395e-01,8.702536182492322248e-02,-1.000000000000000000e+00,1.666666666666666644e-02,1.675358452817606036e-02
3.070000000000000000e+02,4.802418852919341674e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,4.693163972472055434e+01,-1.016966214746554131e-01,-5.090031959887852953e-02,6.917332550116295393e-03,4.860846988250577816e-02,1.464798304940968243e-01,1.930830795489639762e-01,2.376822213440404064e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.653528954095809592e-02
3.080000000000000000e+02,3.958392204752118282e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,5.112503879844100396e+01,1.161789994017298211e-02,5.428961789854702680e-02,2.066588318579300199e-01,2.461484380369602931e-01,6.460482064989314308e-03,5.282127718609275213e-02,2.353388733049771309e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.622407469156385632e-02
3.090000000000000000e+02,3.186720409908693874e+00,3.000000000000000000e+03,9.000000000000000000e+01,0.000000000000000000e+00,5.034671851063666281e+01,-5.831578451449082046e-02,-5.866564182594569132e-03,2.434519448795098295e-01,2.602254259212359866e-01,2.422080085629605972e-01,2.606842221206271404e-01,2.363855784375695490e-01,-1.000000000000000000e+00,1.666666666666666644e-02,1.695142825386239741e-02
