# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
2.100000000000000000e+02,4.063636156628981588e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.971343794312157627e+01,-4.693335117820585101e-02,-3.404497551600105254e-04,9.085442997150880440e-02,1.390953318442040842e-01,2.349179427113974594e-01,2.752383573150196661e-01,2.997726306593161139e-02,7.275467770131429646e+00,1.666666666666666644e-02,1.654462598643992310e-02
2.110000000000000000e+02,3.557388169590039784e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.810151740735621217e+01,1.477115990372226406e-01,1.819539634577349574e-01,8.958541666244480839e-02,1.315500815817998159e-01,2.892276422284281168e-01,3.267019640095516486e-01,2.940186572765138284e-01,9.507975766429504816e+00,1.666666666666666644e-02,1.655740802489718763e-02
2.120000000000000000e+02,3.281291938229200955e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.522315397005356630e+01,-1.468872758744693696e-01,-9.551486369517858677e-02,9.088311705220852854e-02,1.345869230670888594e-01,4.206059061260092324e-02,8.841912247029481975e-02,9.397631978397710806e-02,6.565565778764891114e+00,1.666666666666666644e-02,1.670645770812493117e-02
2.130000000000000000e+02,3.205567941690984579e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.248919199675965075e+01,2.064905464074889840e-02,6.181607466588823208e-02,2.757139106077181046e-01,3.223672823794405673e-01,2.833267296668273150e-01,3.146925076072943916e-01,6.552796121773232785e-02,7.856001625010396339e+00,1.666666666666666644e-02,1.651361564966099746e-02
2.140000000000000000e+02,3.676042253840573260e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.753870226450644765e+01,-1.164133833663030249e-01,-6.567367983329130965e-02,1.067174162745445493e-01,1.512984826028185292e-01,2.729222400428278350e-01,3.142727344318514415e-01,1.447320847129082017e-02,6.449610457453211154e+00,1.666666666666666644e-02,1.696398799599866530e-02
2.150000000000000000e+02,4.368608632405079462e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.413935878139901803e+01,2.539053403037427881e-02,6.272128575072044576e-02,2.526808009377208217e-02,7.265741335910935739e-02,2.747817947972203689e-01,3.058136320643873862e-01,6.695015268693671473e-02,7.865783992757306109e+00,1.666666666666666644e-02,1.699033011003667909e-02
2.160000000000000000e+02,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,3.997850848364703324e+01,-2.521725177281577968e-01,-1.771623805626700854e-01,2.338934026028748892e-01,2.570277551452335718e-01,2.056923128518026445e-01,2.466453344526371438e-01,1.067671049288981822e-02,5.493846279661921628e+00,1.666666666666666644e-02,1.646248749583194282e-02
2.170000000000000000e+02,3.598052142239346551e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.418365221056881609e+01,2.533826207164291411e-02,6.531973329689177987e-02,2.380255496640751312e-01,2.727063194479175667e-01,8.149859999642344865e-02,1.287157766927917724e-01,3.109850587214593037e-02,7.791299399497104261e+00,1.666666666666666644e-02,1.697821496054240445e-02
2.180000000000000000e+02,3.625740824135882168e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.614850167194349240e+01,-1.225634024132722377e-01,-7.343440728147088148e-02,8.888752436697838766e-02,1.407824378593729442e-01,1.768036848080629941e-01,2.216369522964478644e-01,2.675871208760171593e-01,7.203508873084045305e+00,1.666666666666666644e-02,1.660397910414582526e-02
2.190000000000000000e+02,4.016536897226585801e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.662603548292369737e+01,-1.164398953046293372e-01,-6.843931398799196764e-02,7.578144053013269321e-02,1.269656728071038021e-01,2.543440307640644146e-02,7.630371532894697495e-02,2.502986303386499634e-01,7.006108120435639464e+00,1.666666666666666644e-02,1.668722907635878522e-02
